iter	Passed	Remaining
419	2130	2942
420	2134	2936
421	2139	2930
422	2144	2924
423	2148	2919
424	2153	2913
425	2158	2908
426	2163	2902
427	2167	2896
428	2172	2891
429	2176	2885
430	2181	2879
431	2185	2873
432	2189	2867
433	2193	2861
434	2197	2854
435	2201	2848
436	2206	2842
437	2211	2837
438	2215	2831
439	2220	2826
440	2225	2820
441	2229	2814
442	2232	2807
443	2236	2801
444	2240	2794
445	2245	2788
446	2249	2783
447	2254	2777
448	2258	2771
449	2262	2765
450	2267	2759
451	2271	2753
452	2275	2747
453	2279	2741
454	2284	2735
455	2287	2729
456	2292	2723
457	2296	2718
458	2301	2712
459	2305	2706
460	2309	2700
461	2314	2694
462	2318	2688
463	2322	2683
464	2327	2677
465	2331	2671
466	2335	2665
467	2339	2659
468	2343	2653
469	2347	2647
470	2351	2641
471	2356	2635
472	2360	2629
473	2364	2624
474	2368	2618
475	2373	2612
476	2377	2606
477	2381	2600
478	2385	2594
479	2389	2589
480	2393	2582
481	2398	2577
482	2402	2571
483	2406	2565
484	2410	2559
485	2413	2552
486	2417	2546
487	2422	2541
488	2426	2535
489	2430	2529
490	2434	2524
491	2439	2518
492	2443	2513
493	2448	2507
494	2452	2502
495	2457	2496
496	2461	2491
497	2466	2486
498	2471	2481
499	2476	2476
500	2481	2471
501	2486	2466
502	2490	2460
503	2495	2455
504	2499	2450
505	2504	2445
506	2509	2440
507	2513	2434
508	2518	2429
509	2522	2423
510	2527	2418
511	2532	2413
512	2536	2407
513	2541	2402
514	2545	2397
515	2550	2391
516	2554	2386
517	2558	2380
518	2562	2374
519	2566	2368
520	2570	2363
521	2574	2357
522	2578	2351
523	2583	2346
524	2588	2341
525	2593	2336
526	2597	2331
527	2602	2326
528	2606	2320
529	2610	2315
530	2614	2309
531	2619	2303
532	2623	2298
533	2628	2293
534	2632	2287
535	2637	2282
536	2640	2276
537	2645	2271
538	2648	2265
539	2653	2260
540	2656	2254
541	2661	2249
542	2664	2242
543	2669	2237
544	2673	2232
545	2677	2226
546	2682	2221
547	2686	2215
548	2690	2210
549	2694	2204
550	2699	2199
551	2703	2194
552	2708	2189
553	2712	2183
554	2717	2178
555	2720	2172
556	2725	2167
557	2730	2162
558	2734	2157
559	2739	2152
560	2742	2146
561	2747	2141
562	2751	2135
563	2755	2130
564	2759	2124
565	2763	2119
566	2767	2113
567	2771	2107
568	2775	2102
569	2779	2096
570	2783	2091
571	2788	2086
572	2791	2080
573	2796	2075
574	2800	2069
575	2804	2064
576	2808	2058
577	2812	2053
578	2816	2048
579	2821	2043
580	2825	2037
581	2829	2032
582	2834	2027
583	2838	2022
584	2843	2016
585	2847	2011
586	2852	2006
587	2856	2001
588	2860	1995
589	2864	1990
590	2868	1985
591	2872	1979
592	2876	1974
593	2880	1968
594	2884	1963
595	2888	1957
596	2892	1952
597	2896	1947
598	2900	1941
599	2904	1936
600	2908	1930
601	2912	1925
602	2916	1920
603	2921	1915
604	2927	1911
605	2932	1906
606	2937	1901
607	2941	1896
608	2946	1891
609	2951	1887
610	2956	1882
611	2961	1877
612	2966	1872
613	2970	1867
614	2974	1862
615	2978	1856
616	2983	1852
617	2988	1847
618	2993	1842
619	2998	1837
620	3002	1832
621	3006	1827
622	3011	1822
623	3015	1816
624	3019	1811
625	3023	1806
626	3027	1801
627	3031	1795
628	3036	1790
629	3040	1785
630	3045	1780
631	3049	1775
632	3054	1770
633	3058	1765
634	3062	1760
635	3066	1755
636	3071	1750
637	3076	1745
638	3080	1740
639	3084	1734
640	3088	1729
641	3092	1724
642	3096	1719
643	3100	1714
644	3105	1709
645	3109	1703
646	3113	1698
647	3117	1693
648	3121	1688
649	3125	1683
650	3129	1677
651	3134	1672
652	3138	1667
653	3142	1662
654	3146	1657
655	3151	1652
656	3156	1647
657	3161	1643
658	3165	1638
659	3169	1632
660	3173	1627
661	3177	1622
662	3182	1617
663	3186	1612
664	3190	1607
665	3194	1602
666	3199	1597
667	3203	1591
668	3207	1586
669	3211	1581
670	3215	1576
671	3219	1571
672	3223	1566
673	3227	1561
674	3232	1556
675	3236	1550
676	3240	1545
677	3244	1540
678	3248	1535
679	3252	1530
680	3256	1525
681	3260	1520
682	3265	1515
683	3270	1510
684	3274	1505
685	3279	1500
686	3282	1495
687	3287	1490
688	3290	1485
689	3295	1480
690	3298	1475
691	3303	1470
692	3306	1464
693	3311	1460
694	3315	1454
695	3319	1449
696	3323	1444
697	3327	1439
698	3331	1434
699	3335	1429
700	3339	1424
701	3343	1419
702	3347	1414
703	3351	1409
704	3355	1403
705	3359	1399
706	3363	1393
707	3368	1389
708	3372	1384
709	3376	1379
710	3381	1374
711	3386	1369
712	3391	1364
713	3395	1360
714	3400	1355
715	3405	1350
716	3409	1345
717	3414	1341
718	3419	1336
719	3424	1331
720	3428	1326
721	3433	1321
722	3437	1317
723	3442	1312
724	3446	1307
725	3450	1302
726	3454	1297
727	3458	1292
728	3462	1287
729	3466	1282
730	3470	1277
731	3474	1272
732	3479	1267
733	3483	1262
734	3487	1257
735	3492	1252
736	3496	1247
737	3501	1242
738	3505	1238
739	3509	1233
740	3513	1228
741	3517	1223
742	3521	1218
743	3525	1213
744	3529	1208
745	3534	1203
746	3538	1198
747	3542	1193
748	3546	1188
749	3550	1183
750	3554	1178
751	3558	1173
752	3563	1168
753	3567	1164
754	3571	1159
755	3576	1154
756	3579	1149
757	3584	1144
758	3588	1139
759	3592	1134
760	3596	1129
761	3601	1124
762	3606	1120
763	3610	1115
764	3615	1110
765	3620	1105
766	3625	1101
767	3629	1096
768	3633	1091
769	3637	1086
770	3642	1081
771	3646	1077
772	3650	1072
773	3655	1067
774	3659	1062
775	3663	1057
776	3668	1052
777	3672	1047
778	3677	1043
779	3681	1038
780	3686	1033
781	3690	1028
782	3694	1023
783	3699	1019
784	3703	1014
785	3707	1009
786	3711	1004
787	3716	999
788	3721	995
789	3726	990
790	3731	985
791	3735	981
792	3739	976
793	3743	971
794	3747	966
795	3751	961
796	3756	956
797	3760	951
798	3764	946
799	3768	942
800	3772	937
801	3776	932
802	3780	927
803	3785	922
804	3789	917
805	3793	913
806	3797	908
807	3801	903
808	3805	898
809	3810	893
810	3814	889
811	3819	884
812	3823	879
813	3827	874
814	3831	869
815	3835	864
816	3840	860
817	3845	855
818	3849	850
819	3854	846
820	3859	841
821	3863	836
822	3868	831
823	3873	827
824	3877	822
825	3882	817
826	3887	813
827	3891	808
828	3896	803
829	3900	798
830	3905	794
831	3909	789
832	3914	784
833	3918	779
834	3922	775
835	3926	770
836	3931	765
837	3935	760
838	3939	756
839	3944	751
840	3948	746
841	3953	741
842	3957	737
843	3961	732
844	3965	727
845	3970	722
846	3973	717
847	3978	713
848	3982	708
849	3986	703
850	3996	699
851	4003	695
852	4008	690
853	4014	686
854	4020	681
855	4026	677
856	4032	672
857	4037	668
858	4043	663
859	4049	659
860	4054	654
861	4060	650
862	4066	645
863	4070	640
864	4075	636
865	4081	631
866	4086	626
867	4091	622
868	4096	617
869	4100	612
870	4103	607
871	4107	603
872	4111	598
873	4115	593
874	4119	588
875	4124	583
876	4129	579
877	4133	574
878	4137	569
879	4142	564
880	4147	560
881	4151	555
882	4155	550
883	4159	545
884	4164	541
885	4169	536
886	4173	531
887	4178	526
888	4182	522
889	4186	517
890	4190	512
891	4194	507
892	4198	503
893	4202	498
894	4206	493
895	4210	488
896	4214	483
897	4219	479
898	4223	474
899	4227	469
900	4231	464
901	4235	460
902	4239	455
903	4243	450
904	4247	445
905	4251	441
906	4255	436
907	4259	431
908	4263	426
909	4267	422
910	4271	417
911	4275	412
912	4280	407
913	4285	403
914	4289	398
915	4294	393
916	4300	389
917	4305	384
918	4310	379
919	4315	375
920	4320	370
921	4324	365
922	4329	361
923	4334	356
924	4338	351
925	4343	347
926	4347	342
927	4351	337
928	4356	332
929	4361	328
930	4365	323
931	4369	318
932	4374	314
933	4378	309
934	4381	304
935	4386	299
936	4389	295
937	4394	290
938	4398	285
939	4403	281
940	4407	276
941	4411	271
942	4415	266
943	4419	262
944	4423	257
945	4427	252
946	4431	248
947	4435	243
948	4439	238
949	4443	233
950	4447	229
951	4451	224
952	4455	219
953	4459	215
954	4464	210
955	4468	205
956	4472	200
957	4476	196
958	4480	191
959	4484	186
960	4489	182
961	4493	177
962	4496	172
963	4501	168
964	4505	163
965	4510	158
966	4515	154
967	4519	149
968	4523	144
969	4527	140
970	4532	135
971	4536	130
972	4541	126
973	4545	121
974	4549	116
975	4553	111
976	4557	107
977	4561	102
978	4566	97
979	4569	93
980	4573	88
981	4577	83
982	4581	79
983	4586	74
984	4590	69
985	4594	65
986	4599	60
987	4603	55
988	4607	51
989	4611	46
990	4616	41
991	4621	37
992	4625	32
993	4629	27
994	4633	23
995	4637	18
996	4642	13
997	4646	9
998	4650	4
999	4654	0
